Team,Wins
NajiMarshall,"{0: '                    Pass To  FREQ\xa0M%\n0           Hawkins, Jordan      6.2\n1            Daniels, Dyson      6.1\n2            Alvarado, Jose     15.3\n3             Liddell, E.J.      0.2\n4          Murphy III, Trey      6.6\n5            Jones, Herbert      5.6\n6   Robinson-Earl, Jeremiah      1.6\n7                Ryan, Matt      0.8\n8           Lewis Jr., Kira      0.4\n9          Williamson, Zion     14.4\n10          Ingram, Brandon     14.2\n11         Nance Jr., Larry      5.5\n12             Zeller, Cody      1.8\n13             McCollum, CJ     12.3\n14       Valanciunas, Jonas      8.9', 1: '                  Pass From  FREQ\xa0R%\n0           Hawkins, Jordan      7.9\n1            Daniels, Dyson      7.0\n2            Alvarado, Jose     12.8\n3             Liddell, E.J.      0.3\n4          Murphy III, Trey      8.5\n5            Jones, Herbert      6.8\n6   Robinson-Earl, Jeremiah      3.2\n7                Ryan, Matt      1.6\n8           Lewis Jr., Kira      0.5\n9          Williamson, Zion     10.6\n10          Ingram, Brandon     12.8\n11         Nance Jr., Larry      6.1\n12             Zeller, Cody      4.1\n13             McCollum, CJ      7.8\n14       Valanciunas, Jonas     10.0'}"
CalebMartin,"{0: '               Pass To  FREQ\xa0M%\n0         Swider, Cole      0.2\n1          Cain, Jamal      0.2\n2    Jaquez Jr., Jaime     12.6\n3    Robinson, Orlando      2.3\n4        Jovic, Nikola      4.0\n5           Smith, Dru      0.2\n6        Hampton, R.J.      0.1\n7         Herro, Tyler      9.9\n8   Highsmith, Haywood      2.4\n9     Robinson, Duncan      8.1\n10      Bryant, Thomas      1.9\n11        Adebayo, Bam     13.3\n12    Richardson, Josh      5.6\n13       Rozier, Terry      9.8\n14       Wright, Delon      2.4\n15       Butler, Jimmy     13.9\n16        Mills, Patty      1.5\n17         Love, Kevin      4.8\n18         Lowry, Kyle      6.7', 1: '             Pass From  FREQ\xa0R%\n0         Swider, Cole      0.3\n1          Cain, Jamal      0.5\n2    Jaquez Jr., Jaime     12.6\n3    Robinson, Orlando      2.2\n4        Jovic, Nikola      4.9\n5           Smith, Dru      0.2\n6        Hampton, R.J.      0.1\n7         Herro, Tyler      8.2\n8   Highsmith, Haywood      4.8\n9     Robinson, Duncan      8.5\n10      Bryant, Thomas      2.3\n11        Adebayo, Bam      9.9\n12    Richardson, Josh      6.6\n13       Rozier, Terry      8.6\n14       Wright, Delon      2.2\n15       Butler, Jimmy     13.8\n16        Mills, Patty      0.9\n17         Love, Kevin      7.4\n18         Lowry, Kyle      6.1'}"
CodyMartin,"{0: '             Pass To  FREQ\xa0M%\n0     Mensah, Nathan      0.4\n1       Black, Leaky      1.3\n2    Smith Jr., Nick      2.3\n3    Miller, Brandon     20.8\n4    McGowens, Bryce      1.9\n5           Thor, JT      0.1\n6          Mann, Tre      6.0\n7     Richards, Nick      9.1\n8       Ball, LaMelo      2.4\n9    Williams, Grant      4.2\n10  Washington, P.J.      5.9\n11    Bridges, Miles     24.3\n12     Rozier, Terry     11.1\n13   Micic, Vasilije      4.6\n14       Curry, Seth      0.9\n15    Bertans, Davis      1.0\n16        Smith, Ish      3.3\n17   Hayward, Gordon      0.3', 1: '           Pass From  FREQ\xa0R%\n0     Mensah, Nathan      0.6\n1       Black, Leaky      1.4\n2    Smith Jr., Nick      3.3\n3    Miller, Brandon     17.5\n4    McGowens, Bryce      1.6\n5           Thor, JT      0.3\n6          Mann, Tre      5.5\n7     Richards, Nick     11.1\n8       Ball, LaMelo      3.0\n9    Williams, Grant      4.0\n10  Washington, P.J.      7.1\n11    Bridges, Miles     25.1\n12     Rozier, Terry     10.0\n13   Micic, Vasilije      3.0\n14       Curry, Seth      1.0\n15    Bertans, Davis      1.6\n16        Smith, Ish      3.3\n17   Hayward, Gordon      0.7'}"
KJMartin,"{0: ""                Pass To  FREQ\xa0M%\n0        Miller, Jordan      0.2\n1           Brown, Kobe      0.5\n2         Hyland, Bones      2.0\n3          Coffey, Amir      0.5\n4        Powell, Norman      1.1\n5        Plumlee, Mason      0.5\n6        Batum, Nicolas      0.3\n7    Westbrook, Russell      0.3\n8     Council IV, Ricky      2.9\n9   Lofton Jr., Kenneth      0.2\n10    Smith, Terquavion      4.5\n11      Springer, Jaden      4.0\n12     Dowtin Jr., Jeff      5.4\n13           Reed, Paul      4.5\n14        Maxey, Tyrese     17.2\n15       Bazley, Darius      0.2\n16   Melton, De'Anthony      1.2\n17            Bamba, Mo      1.6\n18    House Jr., Danuel      2.0\n19      Korkmaz, Furkan      4.2\n20         Hield, Buddy      8.8\n21       Payne, Cameron     11.9\n22     Oubre Jr., Kelly      9.8\n23         Embiid, Joel      1.6\n24    Covington, Robert      0.5\n25       Harris, Tobias      4.5\n26   Morris Sr., Marcus      0.3\n27    Beverley, Patrick      5.4\n28       Batum, Nicolas      1.2\n29          Lowry, Kyle      2.8"", 1: ""              Pass From  FREQ\xa0R%\n0        Miller, Jordan      0.4\n1           Brown, Kobe      0.4\n2       Diabate, Moussa      0.4\n3         Hyland, Bones      2.5\n4          Coffey, Amir      0.4\n5        Powell, Norman      1.1\n6        Plumlee, Mason      0.7\n7        Batum, Nicolas      0.5\n8    Westbrook, Russell      0.4\n9     Council IV, Ricky      2.3\n10  Lofton Jr., Kenneth      0.2\n11    Smith, Terquavion      4.0\n12      Springer, Jaden      2.9\n13     Dowtin Jr., Jeff      3.2\n14           Reed, Paul      6.3\n15        Maxey, Tyrese     18.6\n16   Melton, De'Anthony      2.0\n17            Bamba, Mo      3.2\n18         Wilson, D.J.      0.2\n19    House Jr., Danuel      1.6\n20      Korkmaz, Furkan      3.2\n21         Hield, Buddy      7.2\n22       Payne, Cameron     10.3\n23     Oubre Jr., Kelly      8.3\n24         Embiid, Joel      1.6\n25    Covington, Robert      0.9\n26       Harris, Tobias      3.4\n27   Morris Sr., Marcus      0.7\n28    Beverley, Patrick      7.2\n29       Batum, Nicolas      2.5\n30          Lowry, Kyle      3.4""}"
GarrisonMathews,"{0: ""               Pass To  FREQ\xa0M%\n0          Lundy, Seth      0.8\n1         Bufkin, Kobe      3.0\n2      Gueye, Mouhamed      0.6\n3          Griffin, AJ      1.2\n4       Johnson, Jalen      4.4\n5          Krejci, Vit      3.1\n6       Forrest, Trent      9.8\n7          Bey, Saddiq      5.0\n8      Okongwu, Onyeka      4.8\n9       Windler, Dylan      0.8\n10    Hunter, De'Andre      5.0\n11         Young, Trae     16.5\n12     Fernando, Bruno      6.2\n13    Murray, Dejounte     29.0\n14  Bogdanovic, Bogdan      6.4\n15       Capela, Clint      1.7\n16    Matthews, Wesley      0.9\n17        Mills, Patty      0.8"", 1: ""             Pass From  FREQ\xa0R%\n0          Lundy, Seth      0.3\n1         Bufkin, Kobe      1.4\n2      Gueye, Mouhamed      1.1\n3          Griffin, AJ      0.6\n4       Johnson, Jalen      5.7\n5          Krejci, Vit      4.1\n6       Forrest, Trent     10.7\n7          Bey, Saddiq      2.2\n8      Okongwu, Onyeka      4.9\n9       Windler, Dylan      0.6\n10    Hunter, De'Andre      3.8\n11         Young, Trae     16.4\n12     Fernando, Bruno      8.8\n13    Murray, Dejounte     27.2\n14  Bogdanovic, Bogdan      6.6\n15       Capela, Clint      2.1\n16    Matthews, Wesley      2.4\n17        Mills, Patty      0.9""}"
BennedictMathurin,"{0: '               Pass To  FREQ\xa0M%\n0        Sheppard, Ben      2.3\n1       Walker, Jarace      0.4\n2      Jackson, Isaiah      3.8\n3         Smith, Jalen      3.0\n4       Nesmith, Aaron      4.9\n5   Haliburton, Tyrese     24.1\n6          Toppin, Obi      7.3\n7        Nwora, Jordan      0.8\n8     Nembhard, Andrew      9.9\n9         Brown, Bruce      3.4\n10      Siakam, Pascal      3.2\n11        Hield, Buddy      5.7\n12       Turner, Myles      7.0\n13     McConnell, T.J.     23.8\n14     McDermott, Doug      0.1\n15      Johnson, James      0.3', 1: '             Pass From  FREQ\xa0R%\n0        Sheppard, Ben      3.0\n1       Walker, Jarace      1.1\n2      Tshiebwe, Oscar      0.1\n3      Jackson, Isaiah      4.2\n4         Smith, Jalen      2.7\n5       Nesmith, Aaron      4.8\n6   Haliburton, Tyrese     21.1\n7          Toppin, Obi      8.3\n8        Nwora, Jordan      0.5\n9     Nembhard, Andrew     10.2\n10        Brown, Bruce      4.5\n11      Siakam, Pascal      3.5\n12        Hield, Buddy      6.2\n13       Turner, Myles      5.4\n14     McConnell, T.J.     24.1\n15     McDermott, Doug      0.1\n16      Johnson, James      0.3'}"
WesleyMatthews,"{0: ""               Pass To  FREQ\xa0M%\n0         Bufkin, Kobe      2.8\n1          Griffin, AJ      0.5\n2       Johnson, Jalen      1.5\n3          Krejci, Vit      1.8\n4       Forrest, Trent      9.0\n5          Bey, Saddiq      2.0\n6      Okongwu, Onyeka      6.0\n7    Mathews, Garrison      3.8\n8       Windler, Dylan      0.5\n9     Hunter, De'Andre      3.0\n10         Young, Trae     21.3\n11     Fernando, Bruno      4.3\n12    Murray, Dejounte     30.3\n13  Bogdanovic, Bogdan     10.5\n14       Capela, Clint      2.8"", 1: ""             Pass From  FREQ\xa0R%\n0         Bufkin, Kobe      2.5\n1       Johnson, Jalen      3.2\n2          Krejci, Vit      2.5\n3       Forrest, Trent      7.2\n4          Bey, Saddiq      2.5\n5      Okongwu, Onyeka      5.4\n6    Mathews, Garrison      2.2\n7       Windler, Dylan      0.4\n8     Hunter, De'Andre      5.4\n9          Young, Trae     16.9\n10     Fernando, Bruno      6.5\n11    Murray, Dejounte     32.7\n12  Bogdanovic, Bogdan      9.4\n13       Capela, Clint      3.2""}"
TyreseMaxey,"{0: ""               Pass To  FREQ\xa0M%\n0    Council IV, Ricky      0.8\n1      Springer, Jaden      0.9\n2     Dowtin Jr., Jeff      0.1\n3           Martin, KJ      2.5\n4           Reed, Paul      6.8\n5       Bazley, Darius      0.0\n6   Melton, De'Anthony      7.7\n7            Bamba, Mo      2.8\n8         Wilson, D.J.      0.0\n9    House Jr., Danuel      1.6\n10     Korkmaz, Furkan      0.4\n11        Hield, Buddy      5.5\n12      Payne, Cameron      2.3\n13    Oubre Jr., Kelly      9.3\n14        Embiid, Joel     20.3\n15   Covington, Robert      1.0\n16      Harris, Tobias     17.6\n17  Morris Sr., Marcus      2.9\n18        Green, Danny      0.0\n19   Beverley, Patrick      5.3\n20      Batum, Nicolas      6.9\n21        Tucker, P.J.      0.1\n22         Lowry, Kyle      5.3"", 1: ""             Pass From  FREQ\xa0R%\n0    Council IV, Ricky      0.7\n1      Springer, Jaden      0.7\n2     Dowtin Jr., Jeff      0.2\n3           Martin, KJ      2.2\n4           Reed, Paul     10.2\n5       Bazley, Darius      0.0\n6   Melton, De'Anthony      8.9\n7            Bamba, Mo      3.6\n8         Wilson, D.J.      0.1\n9    House Jr., Danuel      2.4\n10     Korkmaz, Furkan      0.5\n11        Hield, Buddy      5.7\n12      Payne, Cameron      2.2\n13    Oubre Jr., Kelly      8.7\n14        Embiid, Joel     13.0\n15   Covington, Robert      2.5\n16      Harris, Tobias     13.9\n17  Morris Sr., Marcus      3.2\n18        Green, Danny      0.1\n19   Beverley, Patrick      6.2\n20      Batum, Nicolas      8.9\n21        Tucker, P.J.      0.2\n22         Lowry, Kyle      5.9""}"
SkylarMays,"{0: ""                 Pass To  FREQ\xa0M%\n0         Lewis, Maxwell      1.1\n1   Hood-Schifino, Jalen      0.8\n2          Christie, Max      2.1\n3         Reaves, Austin      0.6\n4         Windler, Dylan      1.4\n5          Hayes, Jaxson      2.0\n6           Reddish, Cam      0.1\n7         Hachimura, Rui      0.6\n8     Vanderbilt, Jarred      0.3\n9       Giles III, Harry      0.4\n10       Prince, Taurean      0.3\n11       Wood, Christian      0.8\n12     Russell, D'Angelo      2.0\n13        Davis, Anthony      0.7\n14         James, LeBron      1.1\n15           Reath, Duop      4.8\n16       Camara, Toumani      7.3\n17         Rupert, Rayan      1.5\n18        Minaya, Justin      0.3\n19          Murray, Kris      2.1\n20        Walker, Jabari      7.7\n21       Sharpe, Shaedon     14.7\n22      Henderson, Scoot      2.4\n23        Wainright, Ish      2.4\n24           Badji, Ibou      1.0\n25     Thybulle, Matisse      5.6\n26          Brown, Moses      1.1\n27  Williams III, Robert      0.7\n28        Ayton, Deandre      8.7\n29      Brogdon, Malcolm      6.3\n30         Grant, Jerami     19.0"", 1: ""               Pass From  FREQ\xa0R%\n0         Lewis, Maxwell      0.8\n1   Hood-Schifino, Jalen      0.5\n2          Christie, Max      1.7\n3       Castleton, Colin      0.1\n4         Reaves, Austin      0.4\n5         Windler, Dylan      0.5\n6          Hayes, Jaxson      1.7\n7         Hachimura, Rui      1.2\n8     Vanderbilt, Jarred      0.4\n9       Giles III, Harry      0.7\n10       Prince, Taurean      0.4\n11       Wood, Christian      0.9\n12     Russell, D'Angelo      0.9\n13        Davis, Anthony      1.1\n14         James, LeBron      0.4\n15           Reath, Duop      4.7\n16       Camara, Toumani     13.3\n17         Rupert, Rayan      1.5\n18        Minaya, Justin      0.3\n19          Murray, Kris      2.6\n20        Walker, Jabari      9.3\n21       Sharpe, Shaedon     12.0\n22      Henderson, Scoot      1.3\n23        Wainright, Ish      1.9\n24           Badji, Ibou      1.3\n25     Thybulle, Matisse      7.4\n26          Brown, Moses      1.6\n27  Williams III, Robert      0.5\n28        Ayton, Deandre     11.7\n29      Brogdon, Malcolm      4.7\n30         Grant, Jerami     13.9""}"
MilesMcBride,"{0: '                Pass To  FREQ\xa0M%\n0    Skapintsev, Dmytro      0.2\n1         Toppin, Jacob      0.5\n2         Sims, Jericho      4.3\n3        Flynn, Malachi      0.7\n4    Quickley, Immanuel      0.9\n5     Achiuwa, Precious      8.6\n6    Brown Jr., Charlie      0.2\n7        Windler, Dylan      0.1\n8       Grimes, Quentin      2.4\n9           Barrett, RJ      0.2\n10     Jeffries, DaQuan      0.3\n11   Robinson, Mitchell      0.5\n12        Milton, Shake      0.4\n13    DiVincenzo, Donte     15.3\n14       Brunson, Jalen     10.4\n15           Hart, Josh     19.3\n16  Hartenstein, Isaiah      9.4\n17          Anunoby, OG      2.6\n18    Arcidiacono, Ryan      0.5\n19       Randle, Julius      7.1\n20       Fournier, Evan      0.4\n21    Bogdanovic, Bojan      9.1\n22          Burks, Alec      6.3\n23          Gibson, Taj      0.4', 1: '              Pass From  FREQ\xa0R%\n0    Skapintsev, Dmytro      0.1\n1         Toppin, Jacob      1.5\n2         Sims, Jericho      6.7\n3        Flynn, Malachi      0.8\n4    Quickley, Immanuel      0.7\n5     Achiuwa, Precious     11.7\n6    Brown Jr., Charlie      0.7\n7        Windler, Dylan      0.2\n8       Grimes, Quentin      3.4\n9           Barrett, RJ      0.2\n10     Jeffries, DaQuan      0.6\n11   Robinson, Mitchell      0.9\n12        Milton, Shake      0.3\n13    DiVincenzo, Donte     14.0\n14       Brunson, Jalen      8.5\n15           Hart, Josh     21.6\n16  Hartenstein, Isaiah     11.3\n17          Anunoby, OG      2.2\n18    Arcidiacono, Ryan      0.8\n19       Randle, Julius      4.1\n20       Fournier, Evan      0.1\n21    Bogdanovic, Bojan      4.8\n22          Burks, Alec      4.3\n23          Gibson, Taj      0.5'}"
CJMcCollum,"{0: '                    Pass To  FREQ\xa0M%\n0           Hawkins, Jordan      2.1\n1           Seabron, Dereon      0.0\n2            Daniels, Dyson      4.2\n3            Alvarado, Jose      2.1\n4          Murphy III, Trey      7.9\n5            Jones, Herbert     11.5\n6   Robinson-Earl, Jeremiah      0.4\n7                Ryan, Matt      1.2\n8            Marshall, Naji      3.7\n9           Lewis Jr., Kira      0.2\n10         Williamson, Zion     22.2\n11          Ingram, Brandon     17.8\n12         Nance Jr., Larry      7.5\n13             Zeller, Cody      0.3\n14       Valanciunas, Jonas     19.0', 1: '                  Pass From  FREQ\xa0R%\n0           Hawkins, Jordan      2.4\n1           Seabron, Dereon      0.2\n2            Daniels, Dyson      7.1\n3            Alvarado, Jose      3.0\n4          Murphy III, Trey      8.1\n5            Jones, Herbert     14.1\n6   Robinson-Earl, Jeremiah      0.7\n7                Ryan, Matt      1.1\n8            Marshall, Naji      5.3\n9           Lewis Jr., Kira      0.1\n10         Williamson, Zion     16.9\n11          Ingram, Brandon     12.0\n12         Nance Jr., Larry      7.9\n13             Zeller, Cody      0.5\n14       Valanciunas, Jonas     20.7'}"
